               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.046564,            0.010556,            0.014341,             0.71103,                   1,             0.93601,             0.71239,            0.028841,             0.00648,           0.0052782,           0.0087328,           0.0087328,           0.0087328
                  66,             0.04877,            0.010925,            0.013418,              0.5032,             0.97656,             0.89778,             0.41617,            0.033824,            0.006072,           0.0050959,            0.008713,            0.008713,            0.008713
                  67,            0.049244,            0.010265,            0.011418,             0.97378,                   1,               0.995,             0.50815,            0.027634,           0.0060304,            0.005124,           0.0086932,           0.0086932,           0.0086932
                  68,            0.041663,            0.009913,             0.01354,             0.97378,                   1,               0.995,             0.50815,            0.027634,           0.0060304,            0.005124,           0.0086734,           0.0086734,           0.0086734
                  69,            0.038928,            0.013412,            0.011325,              0.7491,                   1,             0.90425,             0.53667,            0.021093,           0.0057948,           0.0049884,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043326,           0.0093451,            0.013845,             0.68546,                   1,             0.73231,             0.32847,             0.03398,           0.0061837,           0.0048873,           0.0086338,           0.0086338,           0.0086338
                  71,            0.052179,            0.010533,            0.011158,             0.72579,                   1,             0.86593,             0.55976,            0.031448,           0.0058454,           0.0048767,            0.008614,            0.008614,            0.008614
                  72,            0.050921,            0.010503,            0.011066,             0.72579,                   1,             0.86593,             0.55976,            0.031448,           0.0058454,           0.0048767,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043437,            0.011392,            0.011778,             0.56947,               0.975,             0.90225,             0.64402,            0.028394,           0.0058168,           0.0048342,           0.0085744,           0.0085744,           0.0085744
                  74,            0.046902,            0.010639,            0.013558,             0.67311,                   1,             0.93944,              0.4259,            0.032132,           0.0057875,           0.0048038,           0.0085546,           0.0085546,           0.0085546
                  75,            0.050051,           0.0096763,             0.01159,             0.98031,                   1,               0.995,             0.67908,            0.023938,           0.0055789,           0.0050027,           0.0085348,           0.0085348,           0.0085348
                  76,            0.039262,            0.011489,            0.011873,             0.98031,                   1,               0.995,             0.67908,            0.023938,           0.0055789,           0.0050027,            0.008515,            0.008515,            0.008515
                  77,             0.03443,            0.010049,            0.015113,             0.75544,                   1,             0.99381,             0.56801,            0.021573,           0.0053531,            0.005035,           0.0084952,           0.0084952,           0.0084952
                  78,            0.037709,            0.009245,            0.016719,             0.72371,                   1,             0.95217,             0.52947,             0.02171,           0.0054267,           0.0048354,           0.0084754,           0.0084754,           0.0084754
                  79,            0.036103,            0.010776,            0.011204,              0.7574,             0.96177,             0.98852,             0.60933,            0.027136,             0.00561,           0.0046881,           0.0084556,           0.0084556,           0.0084556
                  80,            0.044964,           0.0085004,            0.013947,              0.7574,             0.96177,             0.98852,             0.60933,            0.027136,             0.00561,           0.0046881,           0.0084358,           0.0084358,           0.0084358
                  81,            0.042959,             0.01116,           0.0094159,             0.86524,             0.96541,             0.99381,             0.71456,            0.023202,            0.005134,           0.0046184,            0.008416,            0.008416,            0.008416
                  82,            0.044731,            0.010564,            0.014124,             0.53596,                   1,              0.9069,             0.50231,            0.033208,           0.0060708,           0.0046057,           0.0083962,           0.0083962,           0.0083962
                  83,            0.048299,             0.01122,            0.010156,             0.94424,             0.98991,             0.99381,             0.72371,            0.021535,           0.0053476,            0.004777,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03748,            0.010441,            0.010637,             0.94424,             0.98991,             0.99381,             0.72371,            0.021535,           0.0053476,            0.004777,           0.0083566,           0.0083566,           0.0083566
                  85,            0.035336,            0.011676,           0.0089659,             0.96954,               0.976,               0.995,              0.8342,            0.019086,           0.0054186,           0.0049411,           0.0083368,           0.0083368,           0.0083368
                  86,            0.036649,            0.010552,           0.0094595,             0.89205,             0.83527,             0.95183,             0.46183,            0.030385,           0.0054151,           0.0051236,            0.008317,            0.008317,            0.008317
                  87,            0.043118,             0.01175,            0.013221,             0.87375,             0.89267,             0.94502,             0.68288,             0.02556,           0.0057566,           0.0052291,           0.0082972,           0.0082972,           0.0082972
                  88,            0.040601,           0.0096498,            0.010489,             0.87375,             0.89267,             0.94502,             0.68288,             0.02556,           0.0057566,           0.0052291,           0.0082774,           0.0082774,           0.0082774
                  89,            0.038383,            0.010953,            0.011253,             0.90019,             0.93916,              0.9671,              0.6725,            0.023138,           0.0055473,           0.0063458,           0.0082576,           0.0082576,           0.0082576
                  90,            0.038765,           0.0096121,            0.010053,             0.67654,             0.95464,             0.90292,             0.63888,            0.024058,           0.0052145,           0.0080932,           0.0082378,           0.0082378,           0.0082378
                  91,            0.044462,            0.010105,            0.011149,             0.89732,              0.8979,             0.98328,             0.59632,            0.024988,           0.0052799,           0.0092924,            0.008218,            0.008218,            0.008218
                  92,            0.044708,           0.0088499,            0.013864,             0.89732,              0.8979,             0.98328,             0.59632,            0.024988,           0.0052799,           0.0092924,           0.0081982,           0.0081982,           0.0081982
                  93,             0.04208,            0.010425,           0.0094119,             0.71123,              0.9478,             0.97703,             0.56008,            0.021912,           0.0051849,           0.0086435,           0.0081784,           0.0081784,           0.0081784
                  94,            0.044034,           0.0088654,           0.0085415,             0.94767,                0.95,             0.99148,             0.66829,            0.025329,           0.0050518,           0.0062813,           0.0081586,           0.0081586,           0.0081586
                  95,            0.043407,           0.0099153,            0.009802,             0.67739,                 0.9,               0.882,             0.54765,            0.025598,           0.0056551,           0.0061958,           0.0081388,           0.0081388,           0.0081388
                  96,            0.038787,           0.0094046,            0.011048,             0.67739,                 0.9,               0.882,             0.54765,            0.025598,           0.0056551,           0.0061958,            0.008119,            0.008119,            0.008119
                  97,            0.034289,           0.0092021,           0.0097151,             0.88721,               0.975,             0.96156,             0.73751,            0.018649,           0.0052855,           0.0056453,           0.0080992,           0.0080992,           0.0080992
                  98,            0.034826,           0.0093192,           0.0088512,             0.96097,             0.99695,               0.995,             0.80188,            0.016349,           0.0052527,            0.004988,           0.0080794,           0.0080794,           0.0080794
                  99,            0.033415,            0.010595,           0.0098249,             0.41514,                 0.9,             0.80443,             0.43328,            0.028338,           0.0058217,           0.0045331,           0.0080596,           0.0080596,           0.0080596
                 100,            0.041592,             0.00797,            0.011542,             0.41514,                 0.9,             0.80443,             0.43328,            0.028338,           0.0058217,           0.0045331,           0.0080398,           0.0080398,           0.0080398
                 101,            0.035849,           0.0092761,            0.011953,             0.93325,             0.96987,             0.98818,             0.77567,            0.019936,           0.0052982,           0.0040161,             0.00802,             0.00802,             0.00802
                 102,            0.035839,            0.010805,           0.0083021,             0.93074,                   1,               0.995,             0.66656,            0.025092,           0.0057017,           0.0038547,           0.0080002,           0.0080002,           0.0080002
                 103,            0.042969,           0.0089408,            0.007934,             0.75442,                   1,             0.94758,             0.75824,            0.027115,            0.005405,           0.0036841,           0.0079804,           0.0079804,           0.0079804
                 104,            0.036594,           0.0081925,            0.010067,             0.75442,                   1,             0.94758,             0.75824,            0.027115,            0.005405,           0.0036841,           0.0079606,           0.0079606,           0.0079606
                 105,            0.032705,           0.0084784,           0.0092599,             0.74262,             0.97781,             0.93916,             0.60754,            0.021553,           0.0051491,           0.0036281,           0.0079408,           0.0079408,           0.0079408
                 106,            0.034698,           0.0079971,           0.0094256,             0.62546,                   1,             0.94366,             0.41574,            0.025501,           0.0051188,           0.0035609,            0.007921,            0.007921,            0.007921
                 107,            0.040334,           0.0090893,            0.008034,             0.61118,                   1,             0.98679,             0.57246,            0.021613,            0.004903,           0.0035018,           0.0079012,           0.0079012,           0.0079012
                 108,            0.035953,           0.0082904,             0.01036,             0.61118,                   1,             0.98679,             0.57246,            0.021613,            0.004903,           0.0035018,           0.0078814,           0.0078814,           0.0078814
                 109,            0.034512,           0.0099214,           0.0072875,              0.7427,                   1,               0.995,             0.65002,            0.017778,            0.004723,           0.0035307,           0.0078616,           0.0078616,           0.0078616
                 110,            0.031061,           0.0091925,           0.0088029,             0.99378,                   1,               0.995,               0.724,            0.017783,           0.0046471,           0.0034942,           0.0078418,           0.0078418,           0.0078418
                 111,            0.032272,           0.0090035,           0.0078627,             0.50098,                   1,             0.99273,             0.60829,            0.021989,           0.0047168,           0.0033654,            0.007822,            0.007822,            0.007822
